Gender,Group number,"How clear were the objectives and goals of the offline project management activity?
วัตถุประสงค์และเป้าหมายของกิจกรรมการจัดการโครงการออฟไลน์ชัดเจนเพียงใด","How relevant and applicable was the content discussed in the activity to your current or future project management work? 
เนื้อหาที่หารือในกิจกรรมมีความเกี่ยวข้องและสามารถนำไปใช้กับงานการจัดการโครงการปัจจุบันหรือในอนาคตของคุณมากเพียงใด","How engaging were the activities, discussions, and exercises during the session?
กิจกรรม การอภิปราย และการฝึกหัดในระหว่างเซสชันมีส่วนร่วมมากเพียงใด","How well did the group collaborate and communicate during the offline activity?
กลุ่มทำงานร่วมกันและสื่อสารกันได้ดีเพียงใดในระหว่างกิจกรรมออฟไลน์","How much did you learn from this offline activity that you can apply to your role as a project manager?
คุณได้เรียนรู้อะไรจากกิจกรรมออฟไลน์นี้บ้าง ซึ่งคุณสามารถนำไปปรับใช้กับบทบาทของคุณในฐานะผู้จัดการโครงการได้","How well did the offline activity adhere to the planned schedule, balancing discussions and exercises?
กิจกรรมออฟไลน์ยึดมั่นตามกำหนดการที่วางแผนไว้โดยสมดุลระหว่างการสนทนาและการออกกำลังกายได้ดีเพียงใด","How valuable were the opportunities for networking and interacting with other participants?
โอกาสในการสร้างเครือข่ายและการโต้ตอบกับผู้เข้าร่วมคนอื่นๆ มีค่าเพียงใด?",How confident are you in being able to apply the lessons learned from lectures and workshop to your current or future projects? คุณมีความมั่นใจเพียงใดในการนำบทเรียนที่เรียนรู้จากการบรรยายและการฝึกอบรมไปใช้กับโครงการปัจจุบันหรือในอนาคตของคุณได้?,"Overall, how satisfied were you with the offline project management activity?
โดยรวมแล้วคุณพึงพอใจกับกิจกรรมการจัดการโครงการออฟไลน์มากเพียงใด",Content,Collaboration,Overall,Correlation
Female,12,1,3,3,3,2,2,2,2,2,2.333333333,2.25,2,0.7178
Male,16,4,5,5,5,4,5,5,5,5,4.666666667,4.75,5,0.6286
Female,1,4,4,4,5,4,4,5,4,4,4,4.5,4,0.5763
Male,2,3,3,3,3,4,3,3,3,3,3,3.25,3,0.6409
Female,15,5,5,5,5,5,5,5,5,5,5,5,5,0.5357
Male,16,4,4,4,4,4,4,4,4,4,4,4,4,0.5508
Male,1,4,4,4,4,4,4,4,4,4,4,4,4,
Male,22,4,4,4,4,4,5,5,5,5,4,4.5,5,
Female,27,4,5,5,5,5,5,5,5,4,4.666666667,5,4.5,
Female,27,4,4,4,4,4,4,4,4,4,4,4,4,
Male,16,5,5,5,5,5,5,5,5,5,5,5,5,
Male,4,4,3,5,4,4,4,3,4,4,4,3.75,4,
Male,17,5,4,4,5,4,4,5,5,5,4.333333333,4.5,5,
Male,32,4,4,4,5,5,3,3,5,4,4,4,4.5,
Male,12,4,4,4,4,4,4,4,4,4,4,4,4,
Male,6,4,4,4,4,4,4,4,4,4,4,4,4,
Male,14,4,4,4,4,4,4,4,4,4,4,4,4,
Male,17,4,4,4,4,4,4,4,4,4,4,4,4,
Male,28,3,4,3,5,3,3,3,3,3,3.333333333,3.5,3,
Male,29,5,5,5,5,5,5,5,5,5,5,5,5,
Female,12,4,4,3,4,3,4,3,4,3,3.666666667,3.5,3.5,
Female,12,4,4,4,4,4,4,4,4,4,4,4,4,
Male,14,4,5,4,5,5,5,5,5,5,4.333333333,5,5,
Male,29,5,4,5,4,5,4,4,3,4,4.666666667,4.25,3.5,
Male,28,3,4,4,4,2,3,3,3,3,3.666666667,3,3,
Male,35,4,4,4,4,4,4,4,4,4,4,4,4,
